MedInc,HouseAge,AveBedrms,Population,AveOccup,Longitude
8.3252,41.0,1.0238095238095237,322.0,2.5555555555555554,-122.23
8.3014,21.0,0.9718804920913884,2401.0,2.109841827768014,-122.22
7.2574,52.0,1.073446327683616,496.0,2.8022598870056497,-122.24
5.6431,52.0,1.0730593607305936,558.0,2.547945205479452,-122.25
3.8462,52.0,1.0810810810810811,565.0,2.1814671814671813,-122.25
4.0368,52.0,1.1036269430051813,413.0,2.139896373056995,-122.25
3.6591,52.0,0.9513618677042801,1094.0,2.1284046692607004,-122.25
3.12,52.0,1.061823802163833,1157.0,1.7882534775888717,-122.25
2.0804,42.0,1.1176470588235294,1206.0,2.026890756302521,-122.26
3.6912,52.0,0.9901960784313726,1551.0,2.172268907563025,-122.25
3.2031,52.0,1.0796019900497513,910.0,2.263681592039801,-122.26
3.2705,52.0,1.0245231607629428,1504.0,2.0490463215258856,-122.26
3.075,52.0,1.0128205128205128,1098.0,2.3461538461538463,-122.26
2.6736,52.0,1.0977011494252873,345.0,1.9827586206896552,-122.26
1.9167,52.0,1.0096774193548388,1212.0,1.9548387096774194,-122.26
2.125,50.0,1.071969696969697,697.0,2.640151515151515,-122.26
2.775,52.0,1.0483383685800605,793.0,2.395770392749245,-122.27
2.1202,52.0,0.966996699669967,648.0,2.1386138613861387,-122.27
1.9911,50.0,1.0859188544152745,990.0,2.3627684964200477,-122.26
2.6033,52.0,1.0836363636363637,690.0,2.5090909090909093,-122.27
1.3578,40.0,1.108433734939759,409.0,2.463855421686747,-122.27
1.7135,42.0,1.0027322404371584,929.0,2.5382513661202184,-122.27
1.725,52.0,1.1317991631799162,1015.0,2.1234309623430963,-122.27
2.1806,52.0,1.0369230769230768,853.0,2.624615384615385,-122.27
2.6,52.0,1.0355450236966826,1006.0,2.3838862559241707,-122.27
2.4038,41.0,1.0336134453781514,317.0,2.6638655462184873,-122.28
2.4597,49.0,1.0209205020920502,607.0,2.5397489539748954,-122.28
1.808,52.0,1.0604534005037782,1102.0,2.7758186397984885,-122.28
1.6424,50.0,1.040169133192389,1131.0,2.3911205073995774,-122.28
1.6875,52.0,1.032258064516129,395.0,2.5483870967741935,-122.28
1.9274,49.0,1.1825396825396826,863.0,2.2830687830687832,-122.28
1.9615,52.0,1.090702947845805,1168.0,2.6485260770975056,-122.28
1.7969,48.0,1.2208955223880598,1026.0,3.062686567164179,-122.27
1.375,49.0,1.1124620060790273,754.0,2.291793313069909,-122.27
2.7303,51.0,1.0708955223880596,1258.0,2.3470149253731343,-122.27
1.4861,49.0,1.0681818181818181,570.0,2.159090909090909,-122.27
1.0972,48.0,1.1550802139037433,987.0,2.6390374331550803,-122.27
1.4103,52.0,0.967741935483871,901.0,2.235732009925558,-122.28
3.48,52.0,1.0679611650485437,689.0,2.2297734627831716,-122.26
2.5898,52.0,1.0272988505747127,1377.0,1.978448275862069,-122.26
2.0978,52.0,1.0607594936708862,946.0,2.3949367088607594,-122.26
1.2852,51.0,1.248995983935743,517.0,2.076305220883534,-122.26
1.025,49.0,1.0687830687830688,462.0,2.4444444444444446,-122.26
3.9643,52.0,1.02020202020202,467.0,2.3585858585858586,-122.26
3.0125,52.0,1.0650684931506849,660.0,2.26027397260274,-122.26
2.6768,52.0,1.0994764397905759,718.0,1.8795811518324608,-122.26
2.026,50.0,1.0592105263157894,616.0,2.026315789473684,-122.26
1.7348,43.0,1.233201581027668,558.0,2.205533596837945,-122.27
0.9506,40.0,1.21875,423.0,2.64375,-122.26
1.775,40.0,1.0653409090909092,700.0,1.9886363636363635,-122.27
