brand,km_driven,fuel,owner,selling_price
Maruti,120000,Petrol,First Owner,450000
Skoda,140000,Diesel,Second Owner,370000
Honda,127000,Diesel,Third Owner,158000
Hyundai,120000,Petrol,First Owner,225000
Maruti,85000,Diesel,First Owner,130000
Hyundai,95000,Petrol,Second Owner,320000
Toyota,110000,Diesel,First Owner,580000
Honda,75000,Petrol,First Owner,420000
Ford,135000,Diesel,Second Owner,280000
Maruti,68000,Petrol,First Owner,310000
Skoda,125000,Diesel,Third Owner,290000
Hyundai,105000,Petrol,First Owner,380000
Tata,142000,Diesel,Second Owner,220000
Maruti,92000,CNG,First Owner,260000
Toyota,88000,Petrol,First Owner,520000
Honda,113000,Diesel,Second Owner,340000
Hyundai,79000,Petrol,First Owner,410000
Ford,156000,Diesel,Third Owner,240000
Maruti,64000,Petrol,First Owner,290000
Skoda,138000,Diesel,Second Owner,320000
Toyota,97000,Petrol,First Owner,560000
Honda,82000,Diesel,First Owner,470000
Hyundai,119000,Petrol,Second Owner,360000
Mahindra,145000,Diesel,Third Owner,270000
Maruti,71000,CNG,First Owner,240000
Tata,131000,Diesel,Second Owner,190000
Toyota,103000,Petrol,First Owner,510000
Honda,91000,Diesel,First Owner,440000
Ford,162000,Diesel,Third Owner,210000
Hyundai,87000,Petrol,First Owner,395000
Skoda,115000,Diesel,Second Owner,350000
Maruti,78000,Petrol,First Owner,335000
Toyota,126000,Diesel,Second Owner,490000
Honda,69000,Petrol,First Owner,460000
Hyundai,134000,Diesel,Third Owner,310000
Mahindra,153000,Diesel,Second Owner,250000
Tata,98000,Petrol,First Owner,280000
Maruti,83000,CNG,First Owner,275000
Ford,141000,Diesel,Third Owner,230000
Toyota,107000,Petrol,First Owner,540000
Honda,124000,Diesel,Second Owner,370000
Hyundai,76000,Petrol,First Owner,425000
Skoda,148000,Diesel,Third Owner,270000
Maruti,89000,Petrol,First Owner,355000
Toyota,94000,Diesel,First Owner,610000
Honda,102000,Petrol,Second Owner,390000
Hyundai,117000,Diesel,Third Owner,330000
Mahindra,139000,Diesel,Second Owner,260000
Tata,111000,Petrol,First Owner,310000
Maruti,73000,CNG,First Owner,285000
Ford,129000,Diesel,Second Owner,255000
Toyota,86000,Petrol,First Owner,575000
Honda,96500,Diesel,First Owner,510000
Hyundai,108000,Petrol,Second Owner,345000
Skoda,157000,Diesel,Third Owner,240000
Maruti,81500,Petrol,First Owner,365000
Toyota,121000,Diesel,Second Owner,530000
Honda,84500,Petrol,First Owner,480000
Hyundai,132000,Diesel,Third Owner,295000
Mahindra,149000,Diesel,Second Owner,245000
Tata,104000,Petrol,First Owner,325000
Maruti,77000,CNG,First Owner,295000
Ford,137000,Diesel,Third Owner,225000
Toyota,99000,Petrol,First Owner,595000
Honda,116000,Diesel,Second Owner,355000
Hyundai,81000,Petrol,First Owner,435000
Skoda,143000,Diesel,Third Owner,260000
Maruti,90500,Petrol,First Owner,375000
Toyota,112000,Diesel,Second Owner,570000
Honda,92500,Petrol,First Owner,495000
Hyundai,128000,Diesel,Third Owner,285000
Mahindra,151000,Diesel,Second Owner,235000
Tata,109000,Petrol,First Owner,340000
Maruti,79500,CNG,First Owner,305000
Ford,146000,Diesel,Third Owner,215000
Toyota,101000,Petrol,First Owner,620000
Honda,123000,Diesel,Second Owner,365000
Hyundai,88000,Petrol,First Owner,445000
Skoda,154000,Diesel,Third Owner,230000
Maruti,85500,Petrol,First Owner,385000
Toyota,118000,Diesel,Second Owner,550000
Honda,100500,Petrol,First Owner,505000
Hyundai,140000,Diesel,Third Owner,275000
Mahindra,158000,Diesel,Second Owner,230000
Tata,114000,Petrol,First Owner,355000
Maruti,82500,CNG,First Owner,315000
Ford,150000,Diesel,Third Owner,205000
Toyota,106000,Petrol,First Owner,650000
Honda,130000,Diesel,Second Owner,350000
Hyundai,91000,Petrol,First Owner,455000
Skoda,159000,Diesel,Third Owner,220000
Maruti,87500,Petrol,First Owner,395000
Toyota,122000,Diesel,Second Owner,590000
Honda,94500,Petrol,First Owner,515000
Hyundai,144000,Diesel,Third Owner,265000
Mahindra,160000,Diesel,Second Owner,225000
Tata,119000,Petrol,First Owner,365000
Maruti,84500,CNG,First Owner,325000
Ford,155000,Diesel,Third Owner,200000
Toyota,115000,Petrol,First Owner,680000
Honda,133000,Diesel,Second Owner,345000
Hyundai,93000,Petrol,First Owner,465000
